response_id,questionnaire_id,started_at,finished_at,duration_seconds,completed,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20
R2026061309512867635900001,elder_digital_2026,2026-06-07 07:31:20,2026-06-07 07:36:57,337.0,1,above_80,male,alone,primary,yes,gt5,font_small,yes,often,no,,yes,4,give_up,anti_scam|human_help|voice_assist,1,yes,willing,1,希望有人能教教我们
R2026061309512867691500003,elder_digital_2026,2026-06-12 05:58:59,2026-06-12 06:01:01,122.1,1,below_60,male,institution,junior,no,,,,,,,,,give_up,simpler,3,yes,resist,5,语音功能很需要
R2026061309512867742400005,elder_digital_2026,2026-06-04 03:38:08,2026-06-04 03:41:49,220.6,1,above_80,female,with_spouse,senior,yes,gt5,fear_scam|font_small,yes,daily,yes,1,yes,3,ask_friends,human_help|simpler,4,no,eager,1,希望字体更大一些
R2026061309512867789800007,elder_digital_2026,2026-06-12 02:51:45,2026-06-12 02:54:36,171.2,1,70_79,male,with_children,senior,yes,3_5,forget_steps|font_small,yes,never,yes,1,no,4,ask_friends,simpler|bigger_font|human_help,2,no,reluctant,1,希望有人能教教我们
R2026061309512867835500009,elder_digital_2026,2026-06-11 00:39:56,2026-06-11 00:43:18,201.9,0,70_79,female,alone,primary,no,,,,,,,,,give_up,voice_assist|bigger_font|simpler,4,yes,willing,0,希望有人能教教我们
R2026061309512867880100011,elder_digital_2026,2026-06-02 03:05:12,2026-06-02 03:11:49,397.4,1,60_69,male,alone,junior,no,,,,,,,,,ask_children,human_help,2,no,resist,3,挺好的没什么意见
R2026061309512867929800013,elder_digital_2026,2026-06-09 08:29:59,2026-06-09 08:35:32,332.7,1,60_69,female,alone,senior,yes,lt1,too_complex|none|misclick,no,daily,no,,yes,4,ask_children,voice_assist|anti_scam,2,yes,resist,2,担心被骗
R2026061309512867979500015,elder_digital_2026,2026-06-03 00:39:56,2026-06-03 00:42:43,167.2,0,above_80,male,with_children,primary,no,,,,,,,,,self_explore,anti_scam|simpler,4,yes,willing,0,
R2026061309512868025500017,elder_digital_2026,2026-06-11 13:49:11,2026-06-11 13:51:42,150.1,1,above_80,female,with_spouse,primary,no,,,,,,,,,ask_children,voice_assist|human_help|simpler,2,no,reluctant,2,希望有人能教教我们
R2026061309512868073700019,elder_digital_2026,2026-06-11 00:28:34,2026-06-11 00:30:35,120.9,1,above_80,female,with_spouse,college,yes,gt5,forget_steps,no,never,no,,yes,4,give_up,anti_scam|human_help|bigger_font,2,no,willing,5,语音功能很需要
R2026061309512868121100021,elder_digital_2026,2026-06-01 12:00:25,2026-06-01 12:06:00,335.4,1,70_79,female,institution,senior,no,,,,,,,,,give_up,anti_scam|bigger_font,4,no,eager,0,
R2026061309512868176000023,elder_digital_2026,2026-06-08 07:41:34,2026-06-08 07:46:23,289.1,1,70_79,male,with_children,junior,yes,gt5,forget_steps,no,never,yes,3,yes,5,ask_friends,anti_scam|voice_assist,2,yes,eager,1,操作能再简单点就好
R2026061309512868227800025,elder_digital_2026,2026-06-01 04:05:32,2026-06-01 04:15:10,578.9,1,60_69,female,alone,primary,yes,gt5,misclick,no,daily,no,,no,5,self_explore,voice_assist,3,yes,eager,2,担心被骗
R2026061309512868280700027,elder_digital_2026,2026-05-31 00:17:17,2026-05-31 00:20:36,198.6,1,above_80,female,alone,college,yes,lt1,too_complex|fear_scam,no,daily,yes,2,no,4,self_explore,voice_assist|bigger_font,2,yes,eager,3,
R2026061309512868335600029,elder_digital_2026,2026-06-10 22:37:29,2026-06-10 22:44:00,390.8,1,60_69,female,institution,primary,yes,lt1,fear_scam|too_complex|none,no,rarely,no,,yes,3,give_up,voice_assist|anti_scam|human_help,4,yes,reluctant,2,希望有人能教教我们
R2026061309512868389200031,elder_digital_2026,2026-06-04 22:11:24,2026-06-04 22:13:42,138.0,1,70_79,male,with_children,senior,yes,lt1,misclick|forget_steps|font_small,yes,rarely,yes,5,no,5,give_up,simpler,5,yes,reluctant,4,
R2026061309512868442700033,elder_digital_2026,2026-06-06 06:07:19,2026-06-06 06:15:05,466.3,0,70_79,male,institution,primary,yes,1_3,fear_scam|misclick|too_complex,no,rarely,yes,4,no,1,ask_children,bigger_font|simpler|human_help,5,yes,willing,1,语音功能很需要
R2026061309512868497100035,elder_digital_2026,2026-06-01 13:58:29,2026-06-01 14:02:41,252.2,1,below_60,male,alone,college,yes,1_3,none,no,never,no,,yes,1,give_up,anti_scam,4,yes,eager,5,担心被骗
R2026061309512868552300037,elder_digital_2026,2026-06-03 17:01:03,2026-06-03 17:08:55,471.9,1,70_79,female,with_spouse,senior,no,,,,,,,,,self_explore,voice_assist|simpler|human_help,4,no,willing,0,语音功能很需要
R2026061309512868608000039,elder_digital_2026,2026-06-07 19:44:23,2026-06-07 19:49:58,334.4,1,70_79,female,alone,primary,no,,,,,,,,,ask_children,voice_assist,5,yes,willing,1,希望字体更大一些
R2026061309512868667900041,elder_digital_2026,2026-06-07 10:49:37,2026-06-07 10:53:18,221.1,1,above_80,male,alone,senior,yes,1_3,forget_steps|none|too_complex,no,rarely,yes,5,yes,5,give_up,anti_scam|simpler,4,yes,reluctant,5,希望有人能教教我们
R2026061309512868725700043,elder_digital_2026,2026-05-30 20:40:03,2026-05-30 20:44:02,239.7,1,above_80,female,alone,college,yes,1_3,misclick,no,often,no,,yes,5,ask_friends,voice_assist,3,yes,reluctant,0,挺好的没什么意见
R2026061309512868783800045,elder_digital_2026,2026-06-12 21:37:47,2026-06-12 21:41:44,237.4,0,above_80,male,institution,primary,yes,lt1,misclick,no,often,no,,yes,2,ask_friends,voice_assist|simpler,5,yes,reluctant,0,希望有人能教教我们
R2026061309512868844000047,elder_digital_2026,2026-06-02 13:27:27,2026-06-02 13:36:41,553.9,1,60_69,female,alone,senior,no,,,,,,,,,ask_friends,bigger_font|simpler|human_help,5,no,willing,4,希望有人能教教我们
R2026061309512868902500049,elder_digital_2026,2026-06-05 12:51:06,2026-06-05 12:55:43,276.4,1,above_80,male,alone,college,yes,1_3,none|font_small|forget_steps,no,often,no,,yes,3,ask_friends,simpler|anti_scam,5,no,willing,5,担心被骗
R2026061309512868963400051,elder_digital_2026,2026-05-30 03:46:26,2026-05-30 03:52:49,383.3,1,below_60,male,institution,college,no,,,,,,,,,ask_friends,simpler,3,yes,eager,5,希望有人能教教我们
R2026061309512869023900053,elder_digital_2026,2026-06-12 16:01:50,2026-06-12 16:06:19,269.6,1,70_79,female,with_children,junior,yes,1_3,misclick|too_complex|font_small,yes,daily,yes,2,no,5,ask_children,voice_assist,1,yes,reluctant,1,担心被骗
R2026061309512869085500055,elder_digital_2026,2026-06-11 03:53:57,2026-06-11 04:00:40,403.4,1,70_79,male,with_children,senior,no,,,,,,,,,give_up,anti_scam|bigger_font,4,yes,reluctant,2,希望字体更大一些
R2026061309512869146700057,elder_digital_2026,2026-06-10 07:14:49,2026-06-10 07:18:49,240.0,1,above_80,male,institution,senior,yes,1_3,font_small,yes,daily,yes,3,no,2,self_explore,simpler|human_help|anti_scam,5,yes,resist,0,操作能再简单点就好
R2026061309512869210400059,elder_digital_2026,2026-06-03 20:18:12,2026-06-03 20:23:24,312.7,1,60_69,male,with_children,senior,yes,lt1,fear_scam|none|forget_steps,yes,rarely,no,,yes,2,give_up,simpler|bigger_font,4,yes,willing,0,操作能再简单点就好
R2026061309512869273800061,elder_digital_2026,2026-06-06 14:17:54,2026-06-06 14:23:54,359.7,1,above_80,male,alone,senior,yes,3_5,misclick|fear_scam|font_small,yes,often,no,,yes,4,self_explore,voice_assist,5,yes,eager,3,希望有人能教教我们
R2026061309512869336700063,elder_digital_2026,2026-06-02 18:32:08,2026-06-02 18:39:10,421.6,1,above_80,female,with_children,college,yes,3_5,none,yes,rarely,yes,4,yes,4,give_up,bigger_font,2,yes,eager,2,语音功能很需要
R2026061309512869400200065,elder_digital_2026,2026-05-31 09:29:05,2026-05-31 09:31:39,154.5,1,above_80,male,alone,primary,yes,1_3,font_small|none,no,daily,yes,4,no,4,ask_children,anti_scam|voice_assist,4,no,resist,3,语音功能很需要
R2026061309512869466400067,elder_digital_2026,2026-06-02 16:07:37,2026-06-02 16:11:52,255.4,1,70_79,male,alone,senior,no,,,,,,,,,give_up,simpler|anti_scam,4,yes,resist,1,
R2026061309512869533500069,elder_digital_2026,2026-06-07 07:19:57,2026-06-07 07:25:12,314.8,1,above_80,female,with_children,senior,no,,,,,,,,,self_explore,anti_scam,2,no,willing,0,操作能再简单点就好
R2026061309512869600600071,elder_digital_2026,2026-06-08 20:43:51,2026-06-08 20:46:43,172.7,1,60_69,male,with_children,primary,yes,3_5,too_complex,no,often,no,,yes,3,self_explore,anti_scam|voice_assist|bigger_font,3,yes,reluctant,1,
R2026061309512869669800073,elder_digital_2026,2026-06-01 00:28:40,2026-06-01 00:34:16,335.8,0,60_69,female,with_children,junior,yes,lt1,none|font_small,no,often,no,,yes,5,ask_friends,voice_assist|simpler|anti_scam,4,no,reluctant,2,操作能再简单点就好
R2026061309512869738300075,elder_digital_2026,2026-05-30 09:02:40,2026-05-30 09:11:10,510.1,1,above_80,male,institution,college,yes,1_3,misclick|fear_scam,yes,never,yes,4,yes,5,self_explore,simpler|bigger_font|anti_scam,5,yes,resist,0,挺好的没什么意见
R2026061309512869806300077,elder_digital_2026,2026-06-12 11:24:28,2026-06-12 11:31:39,430.6,1,above_80,male,with_children,junior,no,,,,,,,,,give_up,bigger_font,3,yes,eager,4,语音功能很需要
R2026061309512869873700079,elder_digital_2026,2026-06-03 20:48:30,2026-06-03 20:51:05,155.1,1,below_60,female,alone,primary,no,,,,,,,,,ask_friends,simpler,4,yes,reluctant,0,希望字体更大一些
R2026061309512869943900081,elder_digital_2026,2026-06-12 01:14:58,2026-06-12 01:20:12,314.4,1,above_80,male,institution,junior,yes,gt5,too_complex,no,rarely,yes,1,no,4,ask_children,bigger_font|simpler,4,no,eager,2,希望有人能教教我们
R2026061309512870019600083,elder_digital_2026,2026-06-01 14:47:55,2026-06-01 14:54:27,392.0,1,70_79,male,with_children,college,no,,,,,,,,,give_up,simpler,2,no,resist,5,语音功能很需要
R2026061309512870091000085,elder_digital_2026,2026-06-03 19:08:43,2026-06-03 19:17:18,515.1,1,60_69,male,institution,senior,yes,gt5,none|fear_scam|forget_steps,no,often,no,,yes,4,ask_friends,anti_scam|voice_assist,4,no,eager,2,挺好的没什么意见
R2026061309512870162300087,elder_digital_2026,2026-06-05 13:20:58,2026-06-05 13:29:45,526.4,0,70_79,female,alone,junior,no,,,,,,,,,ask_children,bigger_font|voice_assist,3,no,eager,4,操作能再简单点就好
R2026061309512870235700089,elder_digital_2026,2026-06-10 15:31:53,2026-06-10 15:38:49,415.8,1,70_79,male,alone,senior,yes,lt1,misclick,yes,often,no,,yes,3,ask_children,human_help|voice_assist|simpler,2,no,eager,3,
R2026061309512870309500091,elder_digital_2026,2026-06-09 09:42:29,2026-06-09 09:52:18,588.7,1,below_60,male,institution,college,no,,,,,,,,,self_explore,bigger_font|human_help|anti_scam,2,no,willing,3,
R2026061309512870387200093,elder_digital_2026,2026-06-10 15:57:40,2026-06-10 16:04:02,381.8,1,below_60,female,with_children,senior,yes,3_5,none|font_small|fear_scam,no,rarely,no,,no,3,ask_friends,human_help|simpler|bigger_font,4,yes,resist,5,担心被骗
R2026061309512870460900095,elder_digital_2026,2026-06-11 12:43:50,2026-06-11 12:50:40,410.4,1,60_69,male,with_spouse,junior,no,,,,,,,,,ask_children,voice_assist,3,no,eager,0,担心被骗
R2026061309512870538900097,elder_digital_2026,2026-06-12 20:51:02,2026-06-12 20:54:03,181.4,1,60_69,male,with_spouse,senior,yes,3_5,none|too_complex,yes,rarely,no,,yes,2,self_explore,bigger_font,5,no,reluctant,5,担心被骗
R2026061309512870616100099,elder_digital_2026,2026-06-10 19:06:01,2026-06-10 19:15:30,569.1,0,above_80,male,institution,college,yes,1_3,fear_scam|forget_steps|misclick,yes,daily,no,,no,4,ask_friends,voice_assist|anti_scam,2,yes,reluctant,3,语音功能很需要
R2026061309512870693400101,elder_digital_2026,2026-06-04 03:18:33,2026-06-04 03:27:10,517.0,1,70_79,male,institution,primary,yes,gt5,font_small,no,never,no,,no,5,ask_children,bigger_font,5,no,willing,1,担心被骗
R2026061309512870770800103,elder_digital_2026,2026-06-01 15:32:20,2026-06-01 15:39:57,457.1,0,70_79,male,with_children,college,yes,gt5,font_small|forget_steps,no,never,no,,no,4,self_explore,human_help|anti_scam,4,yes,willing,4,希望字体更大一些
R2026061309512870846400105,elder_digital_2026,2026-06-10 15:59:51,2026-06-10 16:07:34,463.3,1,70_79,female,alone,primary,no,,,,,,,,,ask_friends,simpler,4,no,willing,0,希望字体更大一些
R2026061309512870923800107,elder_digital_2026,2026-06-03 15:11:06,2026-06-03 15:17:31,384.8,1,above_80,male,with_children,college,yes,3_5,fear_scam|forget_steps,no,rarely,no,,no,3,ask_children,anti_scam|human_help|bigger_font,4,yes,reluctant,0,操作能再简单点就好
R2026061309512871003100109,elder_digital_2026,2026-06-04 06:51:38,2026-06-04 06:59:13,454.2,1,above_80,female,with_spouse,senior,yes,lt1,fear_scam|font_small,no,rarely,no,,no,4,ask_children,simpler|voice_assist,4,yes,eager,3,语音功能很需要
R2026061309512871081000111,elder_digital_2026,2026-06-03 18:05:18,2026-06-03 18:13:52,514.5,1,below_60,male,institution,primary,no,,,,,,,,,self_explore,anti_scam|human_help,3,yes,resist,4,挺好的没什么意见
R2026061309512871160800113,elder_digital_2026,2026-06-02 03:24:28,2026-06-02 03:27:33,184.7,0,70_79,female,with_spouse,senior,no,,,,,,,,,give_up,voice_assist,4,yes,reluctant,5,
R2026061309512871240200115,elder_digital_2026,2026-06-12 02:01:50,2026-06-12 02:07:47,356.3,1,60_69,female,with_children,primary,no,,,,,,,,,self_explore,simpler,3,no,resist,0,语音功能很需要
R2026061309512871326900117,elder_digital_2026,2026-06-08 15:01:24,2026-06-08 15:08:50,445.6,1,60_69,female,institution,senior,yes,1_3,font_small|misclick|fear_scam,no,often,yes,3,yes,4,give_up,anti_scam,1,yes,reluctant,4,希望字体更大一些
R2026061309512871409900119,elder_digital_2026,2026-06-12 23:33:55,2026-06-12 23:36:28,153.2,1,below_60,female,alone,college,yes,gt5,forget_steps|misclick,yes,often,no,,yes,3,give_up,anti_scam|human_help,2,no,resist,1,希望有人能教教我们
R2026061309512871491600121,elder_digital_2026,2026-06-06 16:22:22,2026-06-06 16:27:36,313.7,1,below_60,male,with_spouse,primary,no,,,,,,,,,self_explore,human_help|bigger_font|simpler,5,no,resist,1,
R2026061309512871604200123,elder_digital_2026,2026-05-30 13:16:02,2026-05-30 13:20:41,278.9,1,below_60,female,institution,senior,no,,,,,,,,,ask_children,bigger_font|voice_assist,1,yes,eager,1,挺好的没什么意见
R2026061309512871736400125,elder_digital_2026,2026-06-06 06:11:13,2026-06-06 06:17:55,402.1,1,70_79,female,alone,junior,no,,,,,,,,,ask_children,voice_assist,4,no,reluctant,5,希望字体更大一些
R2026061309512871856100127,elder_digital_2026,2026-06-11 01:28:17,2026-06-11 01:37:51,574.3,1,above_80,male,with_spouse,college,yes,lt1,fear_scam|too_complex,yes,daily,yes,3,yes,3,give_up,bigger_font,4,yes,resist,4,
R2026061309512871971000129,elder_digital_2026,2026-06-03 11:56:24,2026-06-03 11:59:30,186.3,1,70_79,male,with_spouse,senior,yes,lt1,fear_scam,no,never,no,,no,3,give_up,anti_scam|human_help,3,yes,willing,4,担心被骗
R2026061309512872069500131,elder_digital_2026,2026-06-11 11:49:10,2026-06-11 11:53:25,254.6,1,60_69,male,with_spouse,primary,no,,,,,,,,,self_explore,human_help|simpler|voice_assist,1,no,resist,5,操作能再简单点就好
R2026061309512872161900133,elder_digital_2026,2026-06-11 11:30:32,2026-06-11 11:35:05,272.9,1,above_80,female,with_children,college,yes,3_5,none|forget_steps,yes,never,no,,yes,5,give_up,anti_scam|voice_assist|human_help,5,no,resist,5,担心被骗
R2026061309512872250800135,elder_digital_2026,2026-06-01 13:42:24,2026-06-01 13:45:06,162.0,1,70_79,female,alone,primary,no,,,,,,,,,ask_children,bigger_font|human_help|simpler,3,no,resist,2,操作能再简单点就好
R2026061309512872343900137,elder_digital_2026,2026-06-10 21:57:22,2026-06-10 22:06:35,553.7,1,above_80,male,alone,college,yes,gt5,fear_scam,yes,never,no,,yes,5,give_up,bigger_font|human_help|simpler,5,no,resist,5,挺好的没什么意见
R2026061309512872434100139,elder_digital_2026,2026-05-31 03:16:29,2026-05-31 03:22:59,390.4,1,70_79,male,alone,primary,no,,,,,,,,,give_up,bigger_font|anti_scam,4,no,resist,3,挺好的没什么意见
R2026061309512872521800141,elder_digital_2026,2026-05-31 04:46:30,2026-05-31 04:54:37,487.5,1,above_80,female,alone,junior,no,,,,,,,,,ask_friends,human_help|bigger_font|voice_assist,1,yes,eager,3,希望字体更大一些
R2026061309512872614600143,elder_digital_2026,2026-06-03 05:24:38,2026-06-03 05:27:23,165.3,0,70_79,female,institution,primary,yes,lt1,misclick|forget_steps|too_complex,no,never,yes,2,no,3,ask_children,human_help|anti_scam,4,yes,eager,5,希望有人能教教我们
R2026061309512872704300145,elder_digital_2026,2026-06-05 09:03:51,2026-06-05 09:08:20,268.6,1,60_69,male,institution,junior,no,,,,,,,,,ask_friends,bigger_font|simpler|anti_scam,2,yes,reluctant,1,希望有人能教教我们
R2026061309512872794800147,elder_digital_2026,2026-06-05 01:47:29,2026-06-05 01:50:23,174.7,1,below_60,female,alone,primary,yes,3_5,misclick,yes,never,no,,no,4,give_up,anti_scam|human_help,3,yes,resist,5,挺好的没什么意见
R2026061309512872885600149,elder_digital_2026,2026-06-10 03:17:46,2026-06-10 03:21:00,194.8,1,60_69,female,with_spouse,senior,yes,gt5,too_complex|none,no,daily,no,,no,4,give_up,voice_assist,3,no,willing,4,挺好的没什么意见
R2026061309512872978300151,elder_digital_2026,2026-06-01 17:56:56,2026-06-01 17:59:57,181.8,1,60_69,female,with_spouse,junior,yes,1_3,fear_scam|forget_steps,yes,daily,yes,3,yes,3,give_up,anti_scam|simpler,3,yes,willing,0,希望有人能教教我们
R2026061309512873072200153,elder_digital_2026,2026-05-30 20:49:51,2026-05-30 20:58:09,498.4,1,70_79,female,with_spouse,junior,yes,lt1,forget_steps,yes,often,no,,no,4,give_up,voice_assist|simpler,4,yes,eager,1,
R2026061309512873172400155,elder_digital_2026,2026-06-11 08:54:44,2026-06-11 08:57:06,141.3,1,60_69,male,with_children,senior,no,,,,,,,,,ask_friends,bigger_font|simpler|human_help,4,yes,willing,1,
R2026061309512873267000157,elder_digital_2026,2026-06-11 21:15:53,2026-06-11 21:18:17,143.8,0,60_69,male,institution,primary,yes,gt5,forget_steps,no,often,no,,yes,3,ask_children,voice_assist|bigger_font|simpler,5,no,reluctant,5,
R2026061309512873363400159,elder_digital_2026,2026-06-12 03:04:22,2026-06-12 03:10:23,361.2,1,above_80,male,with_spouse,primary,yes,3_5,none,no,rarely,yes,5,yes,5,self_explore,bigger_font|human_help|anti_scam,4,yes,willing,2,希望有人能教教我们
R2026061309512873460100161,elder_digital_2026,2026-06-07 02:47:26,2026-06-07 02:53:55,389.1,1,below_60,male,alone,primary,no,,,,,,,,,ask_friends,simpler,5,yes,eager,3,语音功能很需要
R2026061309512873553800163,elder_digital_2026,2026-06-09 20:31:53,2026-06-09 20:35:11,197.6,1,60_69,male,with_children,primary,no,,,,,,,,,self_explore,anti_scam,4,yes,willing,2,希望字体更大一些
R2026061309512873650800165,elder_digital_2026,2026-06-11 11:02:37,2026-06-11 11:08:52,375.2,1,60_69,male,institution,senior,yes,1_3,none,yes,daily,no,,no,5,self_explore,voice_assist,4,no,willing,4,操作能再简单点就好
R2026061309512873747400167,elder_digital_2026,2026-06-09 08:08:00,2026-06-09 08:13:58,358.3,1,above_80,female,with_spouse,junior,no,,,,,,,,,ask_children,simpler|anti_scam,3,no,eager,0,
R2026061309512873845900169,elder_digital_2026,2026-06-06 21:42:42,2026-06-06 21:45:29,166.9,1,below_60,male,alone,college,yes,lt1,fear_scam|none,no,never,no,,yes,3,ask_children,bigger_font,3,no,willing,0,担心被骗
R2026061309512873945100171,elder_digital_2026,2026-06-10 01:45:12,2026-06-10 01:50:28,316.3,1,70_79,female,alone,college,yes,1_3,none|misclick|forget_steps,no,often,yes,2,no,3,give_up,simpler|anti_scam|voice_assist,3,yes,reluctant,0,语音功能很需要
R2026061309512874042300173,elder_digital_2026,2026-06-10 11:36:35,2026-06-10 11:41:05,270.3,1,60_69,female,with_children,senior,no,,,,,,,,,ask_children,bigger_font,5,no,willing,3,挺好的没什么意见
R2026061309512874146600175,elder_digital_2026,2026-06-09 08:46:21,2026-06-09 08:53:44,443.2,1,below_60,male,with_children,college,no,,,,,,,,,self_explore,voice_assist|simpler,4,no,eager,4,
R2026061309512874255700177,elder_digital_2026,2026-06-09 07:07:14,2026-06-09 07:16:48,573.5,1,below_60,male,institution,senior,yes,lt1,misclick|too_complex,yes,daily,no,,no,4,self_explore,anti_scam,4,no,resist,0,
R2026061309512874359000179,elder_digital_2026,2026-06-08 02:46:36,2026-06-08 02:54:17,460.4,1,above_80,female,institution,college,yes,lt1,fear_scam,yes,never,no,,yes,4,self_explore,bigger_font|voice_assist|human_help,5,no,willing,0,挺好的没什么意见
R2026061309512874463100181,elder_digital_2026,2026-05-30 16:08:05,2026-05-30 16:14:08,363.3,1,below_60,male,with_spouse,senior,no,,,,,,,,,ask_friends,anti_scam,5,no,eager,3,希望字体更大一些
R2026061309512874565000183,elder_digital_2026,2026-06-02 19:20:48,2026-06-02 19:25:36,288.0,1,below_60,male,alone,senior,no,,,,,,,,,self_explore,voice_assist|anti_scam|simpler,1,no,eager,5,担心被骗
R2026061309512874669300185,elder_digital_2026,2026-06-10 03:55:09,2026-06-10 04:04:21,551.6,1,60_69,female,alone,primary,yes,gt5,misclick|none,yes,daily,yes,4,no,4,ask_children,bigger_font|human_help|voice_assist,2,no,eager,4,担心被骗
R2026061309512874779800187,elder_digital_2026,2026-06-12 07:28:09,2026-06-12 07:31:09,179.5,1,60_69,female,with_spouse,senior,yes,1_3,too_complex|misclick|forget_steps,yes,daily,yes,1,yes,5,give_up,voice_assist|human_help,4,no,resist,3,希望字体更大一些
R2026061309512874891600189,elder_digital_2026,2026-06-02 05:37:51,2026-06-02 05:46:12,500.6,1,60_69,female,institution,primary,no,,,,,,,,,ask_children,voice_assist,2,yes,reluctant,3,
R2026061309512874998000191,elder_digital_2026,2026-06-02 22:08:07,2026-06-02 22:13:47,340.2,1,below_60,female,with_children,college,yes,lt1,too_complex,no,never,no,,yes,2,give_up,human_help|anti_scam,4,yes,willing,3,操作能再简单点就好
R2026061309512875104200193,elder_digital_2026,2026-06-11 02:28:04,2026-06-11 02:33:20,315.7,0,above_80,female,institution,primary,yes,lt1,misclick|fear_scam,no,often,yes,3,no,1,ask_children,bigger_font|simpler,4,no,reluctant,2,希望字体更大一些
R2026061309512875213400195,elder_digital_2026,2026-06-02 04:08:37,2026-06-02 04:11:35,178.0,0,60_69,male,with_spouse,junior,yes,gt5,forget_steps,no,often,yes,2,yes,4,give_up,simpler|voice_assist|anti_scam,1,no,resist,4,操作能再简单点就好
